Incident energy ; σ(E)
14.45085 ; 208.6879
14.45714 ; 200.1431
14.46239 ; 194.9579
14.46764 ; 191.5785
14.47289 ; 190.0414
14.47813 ; 190.389
14.48312 ; 192.5185
14.4881 ; 196.454
14.49309 ; 202.2854
14.49807 ; 210.078
14.50306 ; 219.9681
14.50804 ; 232.037
14.51302 ; 246.4385
14.518 ; 263.3235
14.52299 ; 282.897
14.52797 ; 305.2534
14.53296 ; 330.661
14.53794 ; 359.1969
14.54293 ; 391.1496
14.54791 ; 426.5521
14.55289 ; 465.6062
14.55787 ; 508.4244
14.56365 ; 562.9378
14.56942 ; 622.5509
14.57519 ; 687.2874
14.58096 ; 756.9591
14.58673 ; 831.2397
14.5925 ; 909.6523
14.60404 ; 1076.167
14.61405 ; 1226.446
14.62406 ; 1375.919
14.63407 ; 1517.649
14.64407 ; 1644.154
14.65256 ; 1734.399
14.66104 ; 1804.718
14.66952 ; 1852.182
14.678 ; 1874.773
14.68705 ; 1870.537
14.70096 ; 1808.771
14.71487 ; 1688.566
14.72878 ; 1525.247
14.74269 ; 1337.287
14.75931 ; 1105.575
14.77592 ; 889.4576
14.78423 ; 792.2932
14.79253 ; 704.0329
14.80084 ; 624.8858
14.80914 ; 555.0145
14.81627 ; 502.0422
14.82339 ; 455.2489
14.83051 ; 414.0885
14.83763 ; 378.0454
14.84475 ; 346.5869
14.85187 ; 319.1878
14.85899 ; 295.3482
14.86611 ; 274.6046
14.87323 ; 256.5375
14.88035 ; 240.7737
14.88747 ; 226.986
14.89459 ; 214.8913
14.90883 ; 194.8467
14.92307 ; 179.1065
14.93806 ; 165.9923
14.95304 ; 155.5525
14.96803 ; 147.1479
14.98301 ; 140.347
14.998 ; 134.8205
15.01298 ; 130.3396
15.02796 ; 126.722
15.04294 ; 123.831
15.06944 ; 120.1798
15.09594 ; 118.0387
15.12244 ; 117.0994
15.14893 ; 117.1325
15.17543 ; 117.9532
15.20192 ; 119.402
15.25491 ; 123.6123
15.30791 ; 128.6406
15.3609 ; 133.2885
15.41389 ; 136.3044
15.46688 ; 136.6083
15.51675 ; 133.8633
15.55658 ; 129.5539
15.59641 ; 123.6223
15.67607 ; 108.6212
15.75573 ; 92.47532
15.83539 ; 77.66694
15.87522 ; 71.15147
15.91505 ; 65.28985
15.95488 ; 60.06903
15.99471 ; 55.45015
16.03454 ; 51.38087
16.07437 ; 47.80416
16.1142 ; 44.66369
16.15403 ; 41.90688
16.19629 ; 39.34849
16.23854 ; 37.11922
16.28079 ; 35.17547
16.32304 ; 33.48065
16.40755 ; 30.71924
16.49205 ; 28.64605
16.57656 ; 27.13422
16.66107 ; 26.10855
16.74558 ; 25.53899
16.78783 ; 25.42878
16.83008 ; 25.44375
16.8829 ; 25.65767
16.93572 ; 26.12352
16.98854 ; 26.89665
17.04135 ; 28.06252
17.06776 ; 28.83458
17.09417 ; 29.76496
17.12058 ; 30.88597
17.14698 ; 32.23791
17.17339 ; 33.87469
17.1998 ; 35.8659
17.22621 ; 38.30636
17.25261 ; 41.32617
17.27726 ; 44.83364
17.30191 ; 49.23074
17.32656 ; 54.84774
17.33888 ; 58.26221
17.3512 ; 62.19409
17.36353 ; 66.76252
17.37585 ; 72.11063
17.38818 ; 78.44613
17.4005 ; 86.02374
17.41283 ; 95.21081
17.42515 ; 106.4665
17.43747 ; 120.4254
17.44979 ; 137.9066
17.46036 ; 156.4965
17.47092 ; 179.2166
17.48149 ; 207.0313
17.49205 ; 240.9062
17.50262 ; 281.9709
17.51318 ; 331.1732
17.51846 ; 359.1204
17.52374 ; 389.4162
17.52902 ; 422.1199
17.5343 ; 457.2611
17.54091 ; 504.6774
17.54751 ; 555.7194
17.55411 ; 610.2396
17.56071 ; 667.8947
17.56732 ; 728.299
17.57392 ; 790.6508
17.58712 ; 918.3159
17.60535 ; 1088.727
17.62358 ; 1230.812
17.63194 ; 1280.044
17.64029 ; 1316.542
17.64865 ; 1338.989
17.657 ; 1346.456
17.67133 ; 1323.917
17.68518 ; 1262.2
17.69903 ; 1167.733
17.71288 ; 1049.812
17.72672 ; 919.068
17.74585 ; 735.6694
17.75542 ; 648.8035
17.76498 ; 567.8945
17.77455 ; 493.9893
17.78411 ; 427.8992
17.79368 ; 369.6623
17.80324 ; 319.194
17.81112 ; 283.0501
17.819 ; 251.448
17.82688 ; 223.9728
17.83476 ; 200.1887
17.84264 ; 179.6616
17.85052 ; 161.9756
17.8584 ; 146.7439
17.86627 ; 133.6314
17.87415 ; 122.2935
17.88203 ; 112.4758
17.88991 ; 103.9439
17.89778 ; 96.50679
17.90566 ; 89.97714
17.91354 ; 84.22371
17.92929 ; 74.59924
17.94392 ; 67.39733
17.95855 ; 61.45178
17.97318 ; 56.47389
17.98781 ; 52.25484
18.00244 ; 48.64093
18.01707 ; 45.51691
18.0317 ; 42.79472
18.04633 ; 40.40586
18.07559 ; 36.42244
18.10485 ; 33.24814
18.13411 ; 30.67043
18.16337 ; 28.54314
18.19263 ; 26.76357
18.22189 ; 25.25789
18.25115 ; 23.97144
18.28041 ; 22.86272
18.30967 ; 21.89956
18.33893 ; 21.05678
18.39745 ; 19.65695
18.45597 ; 18.54772
18.51449 ; 17.65096
18.57301 ; 16.91015
18.63153 ; 16.28806
18.69906 ; 15.68614
18.76658 ; 15.18173
18.83411 ; 14.75341
18.90163 ; 14.38564
18.96916 ; 14.06656
19.03668 ; 13.78757
19.17172 ; 13.32673
19.30677 ; 12.9563
19.44181 ; 12.65388
19.57686 ; 12.40528
19.7119 ; 12.19992
19.85595 ; 12.02087
20.0 ; 11.8785
20.14695 ; 11.76953
20.29389 ; 11.69883
20.44084 ; 11.6717
20.58778 ; 11.69877
20.73473 ; 11.7982
20.8082 ; 11.88202
20.88167 ; 11.99598
20.95514 ; 12.15055
21.02861 ; 12.35523
21.10208 ; 12.62325
21.17555 ; 12.97382
21.23606 ; 13.34328
21.29657 ; 13.8069
21.35708 ; 14.39161
21.41758 ; 15.13789
21.47809 ; 16.10659
21.50834 ; 16.69963
21.53859 ; 17.38298
21.56885 ; 18.17438
21.5991 ; 19.09524
21.62935 ; 20.17363
21.6596 ; 21.44515
21.69418 ; 23.19486
21.72875 ; 25.3489
21.76333 ; 28.0372
21.7979 ; 31.44417
21.81519 ; 33.5
21.83248 ; 35.85019
21.84977 ; 38.55378
21.86705 ; 41.68357
21.88434 ; 45.33895
21.90163 ; 49.64281
21.91892 ; 54.75987
21.9362 ; 60.90759
21.95565 ; 69.44396
21.96538 ; 74.53167
21.9751 ; 80.28544
21.98483 ; 86.83728
21.99455 ; 94.31825
22.00428 ; 102.9173
22.014 ; 112.8234
22.02373 ; 124.3016
22.03345 ; 137.6138
22.04318 ; 153.1168
22.0529 ; 171.151
22.06263 ; 192.166
22.07235 ; 216.5623
22.08207 ; 244.8206
22.09179 ; 277.3989
22.10044 ; 310.3705
22.10908 ; 347.3147
22.11773 ; 388.5094
22.12637 ; 433.9613
22.13502 ; 483.7598
22.14366 ; 537.6308
22.15231 ; 595.3721
22.16095 ; 656.338
22.16959 ; 719.8855
22.17823 ; 785.109
22.18937 ; 869.8916
22.20051 ; 952.8994
22.22278 ; 1101.233
22.23359 ; 1158.824
22.24439 ; 1203.467
22.2552 ; 1233.242
22.266 ; 1246.752
22.27598 ; 1244.303
22.28595 ; 1227.699
22.30354 ; 1166.506
22.32112 ; 1071.772
22.3387 ; 954.4926
22.35628 ; 826.6973
22.381 ; 649.7932
22.39336 ; 568.7427
22.40572 ; 494.9549
22.41808 ; 429.2464
22.43044 ; 371.816
22.4428 ; 322.389
22.45515 ; 280.397
22.46519 ; 251.1667
22.47523 ; 225.8391
22.48527 ; 203.9471
22.49531 ; 185.0423
22.50535 ; 168.7095
22.51539 ; 154.5745
22.52543 ; 142.3078
22.53547 ; 131.6241
22.54551 ; 122.2797
22.55555 ; 114.0686
22.57563 ; 100.3843
22.59571 ; 89.50664
22.61579 ; 80.69831
22.63433 ; 73.95647
22.65287 ; 68.25226
22.67141 ; 63.3739
22.68994 ; 59.1649
22.70848 ; 55.49982
22.72702 ; 52.28734
22.74556 ; 49.45369
22.76409 ; 46.94125
22.80117 ; 42.69184
22.83824 ; 39.25452
22.87531 ; 36.42943
22.91238 ; 34.075
22.94637 ; 32.24207
22.98035 ; 30.66158
23.01434 ; 29.28916
23.04832 ; 28.09195
23.08231 ; 27.04244
23.11629 ; 26.11967
23.18425 ; 24.58713
23.25222 ; 23.39184
23.32019 ; 22.47008
23.38816 ; 21.78707
23.45612 ; 21.33638
23.50555 ; 21.17048
23.55499 ; 21.17798
23.58434 ; 21.29415
23.61369 ; 21.53039
23.64304 ; 21.94457
23.65772 ; 22.24905
23.67239 ; 22.64373
23.68707 ; 23.15677
23.70174 ; 23.8237
23.71642 ; 24.69146
23.73109 ; 25.81445
23.73843 ; 26.49182
23.74577 ; 27.25714
23.75311 ; 28.11854
23.76044 ; 29.0823
23.76778 ; 30.15788
23.77512 ; 31.34958
23.78979 ; 34.09194
23.79983 ; 36.24472
23.80987 ; 38.60672
23.82995 ; 43.82858
23.85003 ; 49.34049
23.87011 ; 54.49419
23.88865 ; 58.25928
23.90683 ; 60.44214
23.91592 ; 60.83963
23.925 ; 60.73421
23.933 ; 60.21867
23.945 ; 58.72192
23.957 ; 56.42532
23.97096 ; 52.91154
23.98491 ; 48.73958
24.00371 ; 42.57993
24.0225 ; 36.42557
24.03245 ; 33.36068
24.0424 ; 30.50977
24.05235 ; 27.91285
24.0623 ; 25.59289
24.0717 ; 23.66272
24.0811 ; 21.98275
24.0905 ; 20.54098
24.09989 ; 19.32082
24.10929 ; 18.29824
24.11869 ; 17.4514
24.12809 ; 16.75671
24.13748 ; 16.19197
24.14688 ; 15.73493
24.15628 ; 15.36733
24.16568 ; 15.07265
24.17507 ; 14.837
24.18447 ; 14.6481
24.19387 ; 14.49652
24.21266 ; 14.27562
24.22704 ; 14.15825
24.24141 ; 14.07077
24.27015 ; 13.95227
24.2989 ; 13.8777
24.32764 ; 13.8273
24.35639 ; 13.79119
24.38513 ; 13.7642
24.44262 ; 13.72692
24.50011 ; 13.70348
24.5576 ; 13.68972
24.67257 ; 13.68776
24.76986 ; 13.71481
24.86715 ; 13.77409
24.96444 ; 13.87423
25.06173 ; 14.02761
25.15902 ; 14.25234
25.25631 ; 14.57581
25.30496 ; 14.78721
25.3536 ; 15.04114
25.40225 ; 15.34721
25.45089 ; 15.71751
25.50175 ; 16.19175
25.55261 ; 16.7827
25.60347 ; 17.53098
25.65432 ; 18.4943
25.67975 ; 19.08207
25.70518 ; 19.75909
25.73061 ; 20.54397
25.75603 ; 21.46038
